content,header,tags
"Policymakers at the US central bank are growing increasingly concerned about lagging inflation rates.
Many policymakers are worried that the slow pick-up...  ",Fed urges patience as inflation lags,"Policymakers at the US central bank are growing increasingly concerned about lagging inflation rates.
Many policymakers are worried that the slow pick-up...  "
"The trading at the Colombo Stock Exchange improved significantly today (11), with improved foreign participation.
The retailers were too active today.
The...  ",Turnover improves at CSE,"The trading at the Colombo Stock Exchange improved significantly today (11), with improved foreign participation.
The retailers were too active today.
The...  "
"Finland has agreed to provide grants and concessionary loans for development projects in Sri Lanka.
The relevant agreements were signed yesterday (10)...  ",Finland assures financial assistance to Sri Lanka,"Finland has agreed to provide grants and concessionary loans for development projects in Sri Lanka.
The relevant agreements were signed yesterday (10)...  "
"The trading at the Colombo Stock Exchange ended on a positive note today.
The All Share Price Index increased by 7.84 to 6,523.68 and S&P SL20 gained...  ",Stock Market recovers ,"The trading at the Colombo Stock Exchange ended on a positive note today.
The All Share Price Index increased by 7.84 to 6,523.68 and S&P SL20 gained...  "
"BAE Systems is planning to cut almost 2,000 jobs in military, maritime and intelligence services, the firm says.
A total of 750 posts will go at the Warton...  ","BAE Systems to cut almost 2,000 UK jobs","BAE Systems is planning to cut almost 2,000 jobs in military, maritime and intelligence services, the firm says.
A total of 750 posts will go at the Warton...  "
"HTC Corporation, a leading innovator in mobile and virtual reality technology, has opened its first retail store in Colombo.
The HTC Store, located at...  ",HTC opens its first Official Store in Sri Lanka,"HTC Corporation, a leading innovator in mobile and virtual reality technology, has opened its first retail store in Colombo.
The HTC Store, located at...  "
"Trading at the Colombo Stock Exchange ended on a negative note today with both market indices recording losses.
The All Share Price Index lost 13.21 points...  ",CSE Trading ends in red,"Trading at the Colombo Stock Exchange ended on a negative note today with both market indices recording losses.
The All Share Price Index lost 13.21 points...  "
"Singapore Airlines is pursuing a three-year plan of wide-ranging initiatives aimed at helping it reclaim market leadership.
The CEO, Goh Choon Pong said...  ",Singapore Airlines plans wide-ranging initiatives to reclaim market leadership,"Singapore Airlines is pursuing a three-year plan of wide-ranging initiatives aimed at helping it reclaim market leadership.
The CEO, Goh Choon Pong said...  "
"The Central Bank says that Sri Lanka’s rupee value has increased further.
Central Bank officials have pointed out that foreign exchange has strengthened...  ",Rupee further strengthened,"The Central Bank says that Sri Lanka’s rupee value has increased further.
Central Bank officials have pointed out that foreign exchange has strengthened...  "
"After leading global growth for two years, South Asia has fallen to second place, after East Asia and the Pacific.
The region’s slowdown is due...  ",South Asia region’s growth declines,"After leading global growth for two years, South Asia has fallen to second place, after East Asia and the Pacific.
The region’s slowdown is due...  "
"The trading at the Colombo Stock Exchange ended on a positive note on the last day of the week (06)
The All Share Price Index was on a continuous upward...  ",Trading ends positively with moderate foreign participation,"The trading at the Colombo Stock Exchange ended on a positive note on the last day of the week (06)
The All Share Price Index was on a continuous upward...  "
"Uncertainty over Theresa May's future as prime minister helped send sterling down nearly 1% against the dollar on Thursday (05).
The pound fell 0.9%...  ",Sterling stumbles on fears over May's future,"Uncertainty over Theresa May's future as prime minister helped send sterling down nearly 1% against the dollar on Thursday (05).
The pound fell 0.9%...  "
"Sri Lanka will get World Bank funding of 75 million dollars for a new Financial Sector Modernization Project.
The relevant agreement was signed in Colombo...  ",Sri Lanka gets World Bank loan to modernize country’s financial sector,"Sri Lanka will get World Bank funding of 75 million dollars for a new Financial Sector Modernization Project.
The relevant agreement was signed in Colombo...  "
Turnover at the Colombo Stock Exchange improved to Rs. 2.44 billion today (04) despite only 38.6 million shares were traded.The foreigners dominated the...  ,Turnover improves at CSE,Turnover at the Colombo Stock Exchange improved to Rs. 2.44 billion today (04) despite only 38.6 million shares were traded.The foreigners dominated the...  
"The Reserve Bank of India (RBI) kept its policy rate unchanged at a near seven-year low of 6 per cent on Wednesday, despite a sharp slowdown in economic...  ","RBI Keeps Repo Rate Unchanged, Downgrades Growth Forecast To 6.7%","The Reserve Bank of India (RBI) kept its policy rate unchanged at a near seven-year low of 6 per cent on Wednesday, despite a sharp slowdown in economic...  "
"Ben Stokes has been dropped by his kit manufacturer, New Balance.
The England all-rounder is currently under police investigation for his part in a late-night...  ",Sponsors drop Ben Stokes,"Ben Stokes has been dropped by his kit manufacturer, New Balance.
The England all-rounder is currently under police investigation for his part in a late-night...  "
"George Clooney and Jennifer Lawrence have joined the list of Hollywood stars condemning Hollywood producer Harvey Weinstein.
The co-founder of The...  ",Clooney joins Weinstein condemnation; Angelina Jolie and Gwyneth Paltrow identified as victims; wife leaves Weinstein,"George Clooney and Jennifer Lawrence have joined the list of Hollywood stars condemning Hollywood producer Harvey Weinstein.
The co-founder of The...  "
"Chairman of Cricket Selection Committee, Graeme Labrooy says Lasith Malinga will be included in the Sri Lankan squad that will take on Pakistan in a 3-match...  ",Malinga to play against Pakistan in T20 series,"Chairman of Cricket Selection Committee, Graeme Labrooy says Lasith Malinga will be included in the Sri Lankan squad that will take on Pakistan in a 3-match...  "
"Sri Lanka Test skipper Dinesh Chandimal says the performance of players during the Pakistan Tests was a good sign for the team's future.
He said all the...  ","""Wins give us satisfaction"" - Chandimal","Sri Lanka Test skipper Dinesh Chandimal says the performance of players during the Pakistan Tests was a good sign for the team's future.
He said all the...  "
The T20I cricket series between India and Australia took a shameful turn yesterday (10) as Australian team bus damaged when unknown people threw a rock...  ,Rocks thrown at Australian team bus in India,The T20I cricket series between India and Australia took a shameful turn yesterday (10) as Australian team bus damaged when unknown people threw a rock...  
"Grime pioneer Major Ace's family reports that he has died.The rapper, whose real name was Luke Monero, had been suffering from a brain tumour for almost...  ",Grime trailblazer Major Ace bids farewell,"Grime pioneer Major Ace's family reports that he has died.The rapper, whose real name was Luke Monero, had been suffering from a brain tumour for almost...  "
"Rapper Nelly has been arrested after a woman accused him of raping her on his tour bus following a concert near Seattle.
Police in Auburn said they arrested...  ",Rapper Nelly arrested over alleged rape,"Rapper Nelly has been arrested after a woman accused him of raping her on his tour bus following a concert near Seattle.
Police in Auburn said they arrested...  "
"The 71-year-old country music legend, Dolly Parton has admitted she is not sure if she will ever hang up her guitar and stop performing.Dolly thinks the...  ",Dolly Parton won't retire,"The 71-year-old country music legend, Dolly Parton has admitted she is not sure if she will ever hang up her guitar and stop performing.Dolly thinks the...  "
